plot #,plot index,community,reservation,drainage,drainage_cat,loam
1009,1,FP,HI,2,MOD,3
1013,2,BM,BR,3,POOR,1
1017,3,OAK,NC,3,POOR,4
1025,4,OAK,BR,3,POOR,1
1033,5,M,NC,2,MOD,3
1034,6,FP,HI,1,WELL,1
1035,7,BM,MS,3,POOR,2
1038,8,BM,RR,1,WELL,1
1039,9,FP,MS,1,WELL,1
1044,10,M,NC,1,WELL,1
1045,11,M,BR,2,MOD,1
1051,12,BM,MS,3,POOR,2
1054,13,FP,RR,1,WELL,1
1061,14,OAK,BR,2,MOD,2
1069,15,FP,HI,2,MOD,2
1071,16,FP,MS,2,MOD,3
1089,17,BM,BR,2,MOD,1
1090,18,FP,RR,1,WELL,1
1092,19,OAK,NC,2,MOD,2
1094,20,M,RR,1,WELL,1
1097,21,BM,NC,3,POOR,2
1098,22,FP,HI,2,MOD,1
1099,23,OAK,MS,3,POOR,1
1136,24,OAK,WC,1,WELL,1
1376,25,OAK,WC,1,WELL,1
3370,26,M,HI,2,MOD,3
3596,27,OAK,WC,1,WELL,1
3668,28,FP,WC,1,WELL,1
3732,29,OAK,WC,3,POOR,2