plot #,plot index,a-litter organic,a-litter,a-rd,b-litter organic,b-litter,b-rd,c-litter organic,c-litter,c-rd,d-litter organic,d-litter,d-rd,average litter organic,average litter,average rd,%littercover
1009,1,4.2,3.5,101,3.5,2.5,101,5.5,4,101,4.5,4,101,4.425,3.5,101,75
1013,2,4,3.5,21,3,3,21.5,4,4,29,3.5,3.5,30.5,3.625,3.5,25.5,75
1017,3,6,6,77,1.5,1.5,85,4.2,4,60,1.9,1.7,55,3.4,3.3,69.25,60
1025,4,3.5,3.5,89,3.5,3.5,95,5.1,5,60,4.1,4,58,4.05,4,75.5,70
1033,5,9.5,6,72,8.5,7,53,10,7,67,9,6,54,9.25,6.5,61.5,76
1034,6,0,0,101,2.5,2.5,101,,,,,,,5,1.25,101,12
1035,7,7,7,101,4.5,4,101,2.5,1,101,2,2,101,4,3.5,101,79
1038,8,6,3,101,7,5,101,10,9,101,13,10,101,8.25,7.5,101,90
1039,9,4.5,4,101,3.2,3,101,3,3,101,1.5,1,101,3.05,2.75,101,2
1044,10,3.2,3,101,5.1,5,101,3,3,101,2.2,2,101,3.375,3.25,101,50
1045,11,9,8,23,10.5,7.5,101,8,7,60,6,4,101,8.375,6.625,71.25,83
1051,12,4.6,4.5,9,7,6,101,7,6,101,5,5,68,5.9,5.375,69.75,90
1054,13,1.5,1.5,101,2,2,101,1.7,1.7,101,5.5,5.5,101,2.675,2.675,101,3
1061,14,5,4.5,25,3,2.5,20,4,4,101,4.5,4,16,4.125,3.75,40.5,70
1069,15,0.5,0.5,101,0,0,101,0.5,0.5,101,0.5,0.5,101,0.375,0.375,101,2
1071,16,9,8,101,6.3,6,55,9.1,9,101,7,6,101,7.85,7.25,89.5,88
1089,17,2.6,2.5,33,2,2,49,4.5,3,42,4,2,39,3.275,2.375,40.75,68
1090,18,6.5,5,86,7.5,7,87,4.5,3.5,91,4.5,3.5,43,5.75,4.75,76.75,71
1092,19,4,4,63,4,4,33,0.5,0.5,33,3,3,36,2.875,2.875,41.25,75
1094,20,7,7,101,10,10,101,4,4,101,5.5,5.5,101,6.625,6.625,101,61
1097,21,10,8,25,10,7,29,7,4,30,5.5,5.5,75,8.125,6.125,39.75,80
1098,22,3,3,101,4,4,101,4,4,58,2,2,83,3.25,3.25,85.75,9
1099,23,8.5,7,101,5,4,101,1.5,0,52,5,5,57,5,4,77.75,71
1136,24,14,11,48,5,3,35,10,7,37,6.5,5.5,36,8.875,6.625,39,85
1376,25,3.5,3,27,6,4,65,7,5,70,7.5,6,16,6,4.5,44.5,75
3370,26,6,6,28,4.7,4.5,67,2.7,2.5,28,6.5,6,30,4.975,4.75,38.25,60
3596,27,8,7,35,4.5,4,32,5,4,28,6,6,37,5.875,5.25,33,93
3668,28,1.7,1.5,34,5,5,44.5,3.5,3.5,29,4,4,44,3.55,3.5,37.875,3
3732,29,5,4,55,8,7,54,4.5,4,44,11,9,59,7.125,6,53,5