plot,genus,species,a4,a2,a-cover,a-alpha,b4,b2,b-cover,b-alpha,c4,c2,c-cover,c-alpha,d4,d2,d-cover,d-alpha
1,Unknown,dicot,4,3,4,1,4,4,5,1,,4,3,1,3,4,2,1
1,Arisaema,triphyllum,4,,2,1,,,,0,,2,1,1,,,,0
1,Geum,sp.,3,,4,1,2,2,4,1,2,3,4,1,3,2,4,1
1,TARAXACUM,OFFICINALE,3,,2,1,,,,0,,,,0,,,,0
1,ALLIARIA,PETIOLATA,3,3,3,1,,3,4,1,4,4,3,1,3,4,6,1
1,Moss,sp.,3,4,2,1,,4,2,1,,4,2,1,3,,2,1
1,LONICERA,MORROWII,3,4,4,1,2,3,3,1,2,4,3,1,2,2,3,1
1,Cardamine,douglassii,2,2,4,1,2,,2,1,,3,3,1,2,2,3,1
1,Galium,sp.,2,3,2,1,,,,0,4,,2,1,1,4,2,1
1,ROSA,MULTIFLORA,2,2,5,1,4,,6,1,2,,4,1,3,4,5,1
1,Ribes,sp.,,2,2,1,1,,2,1,,,,0,,,,0
1,Viola,pubescens,,2,5,1,2,4,4,1,4,,5,1,3,4,5,1
1,Sanicula,sp.,,2,1,1,,,,0,,,,0,,,,0
1,Unknown,monocot,,2,5,1,1,,4,1,3,2,5,1,4,3,2,1
1,Osmorhiza,claytonii,,2,2,1,,,,0,,,,0,1,,2,1
1,Claytonia,virginica,1,,2,1,1,,2,1,,,,0,,,,0
1,Sambucus,canadensis,1,,2,1,2,,3,1,,,,0,2,2,2,1
1,Cardamine,rhomboidea,1,,2,1,,,,0,,,,0,,2,2,1
1,GLECHOMA,HEDERACEA,1,,2,1,,2,2,1,,,,0,,2,2,1
1,Lamiaceae,spp.,,,,0,2,4,3,1,3,,3,1,3,2,3,1
1,Rubus,occidentalis,,,,0,,2,3,1,,,,0,,,,0
1,Sanguinaria,canadensis,,,,0,1,,1,1,,,,0,,,,0
1,MORUS,ALBA,,,,0,1,,1,1,,,,0,,,,0
1,Asteraceae,spp.,,,,0,,,,0,2,,2,1,3,,2,1
1,Polygonum,virginianum,,,,0,,,,0,,2,2,1,,2,2,1
1,Ulmus,sp.,,,,0,,,,0,,,,0,4,,2,1
1,Viola,sororia,,,,0,,,,0,,,,0,3,,2,1
1,Podophyllum,peltatum,,,,0,,,,0,,,,0,1,,2,1
1,Euonymus,obovatus,,,,0,,,,0,,,,0,,2,2,1
2,Podophyllum,peltatum,4,,2,1,,,,0,1,,2,1,2,,2,1
2,Cardamine,concatenata,2,,2,1,4,,3,1,,,,0,,,,0
2,Prenanthes,sp.,2,,2,1,2,,2,1,2,3,3,1,,2,2,1
2,Polygonatum,biflorum,2,,2,1,2,,2,1,2,,2,1,1,,2,1
2,Asteraceae,spp.,,2,2,1,1,,2,1,3,2,2,1,1,,2,1
2,Unknown,monocot,1,,2,1,,3,2,1,,4,2,1,,2,2,1
2,Prunus,serotina,1,,2,1,1,,2,1,1,,1,1,,,,0
2,Ulmus,sp.,,,,0,2,,2,1,,,,0,,2,2,1
2,LIGUSTRUM,VULGARE,,,,0,2,,2,1,1,,2,1,,,,0
2,Moss,sp.,,,,0,,3,2,1,1,,2,1,,,,0
2,ALLIARIA,PETIOLATA,,,,0,,2,1,1,,,,0,,,,0
2,Geum,sp.,,,,0,1,,2,1,,,,0,,,,0
2,ROSA,MULTIFLORA,,,,0,1,,2,1,1,,1,1,,,,0
2,Claytonia,virginica,,,,0,,,,0,1,,2,1,,,,0
3,Impatiens,capensis,3,2,3,1,4,3,3,1,,2,3,1,,4,2,1
3,Acer,sp.,2,,2,1,,,,0,2,3,2,1,,,,0
3,Ulmus,sp.,2,,2,1,,2,3,1,1,,2,1,2,,2,1
3,Fraxinus,pennsylvanica,2,,3,1,2,2,3,1,,2,2,1,,2,2,1
3,Asteraceae,spp.,2,,2,1,2,3,4,1,3,,2,1,2,2,2,1
3,Acer,saccharum,,3,2,1,1,,2,1,2,2,2,1,2,2,4,1
3,Prunus,serotina,,3,2,1,3,,2,1,2,,2,1,2,2,2,1
3,Solidago,caesia,,3,4,1,,3,2,1,2,2,3,1,4,2,3,1
3,Fagus,grandifolia,,2,2,1,,,,0,,,,0,,2,2,1
3,TARAXACUM,OFFICINALE,,2,3,1,1,,2,1,,,,0,3,,2,1
3,Ranunculus,abortivus,,2,2,1,,2,2,1,,,,0,,,,0
3,Moss,sp.,,2,2,1,1,,2,1,4,,5,1,4,,3,1
3,Geum,sp.,,2,3,1,,2,3,1,,,,0,2,,2,1
3,Polygonum,virginianum,,2,1,1,1,,2,1,,2,2,1,2,,2,1
3,Erythronium,americanum,,2,5,1,,,,0,,,,0,,4,3,1
3,Unknown,monocot,,2,2,1,,3,3,1,2,2,2,1,,,,0
3,Viburnum,acerifolium,,2,3,1,,,,0,1,,2,1,1,,2,1
3,Quercus,sp.,1,,2,1,,,,0,,,,0,,,,0
3,Polygonatum,pubescens,,,,0,,,,0,,,,0,1,,1,1
3,Maianthemum,racemosum,1,,1,1,1,,1,1,,2,2,1,,,,0
3,Lamiaceae,spp.,,2,2,1,1,,2,1,,,,0,2,,2,1
3,Arisaema,triphyllum,1,,2,1,1,,2,1,,4,2,1,,,,0
3,Tilia,americana,1,,2,1,,,,0,,,,0,,,,0
3,Smilax,rotundifolia,,,,0,4,,2,1,,,,0,,,,0
3,VIBURNUM,OPULUS,,,,0,2,,3,1,,,,0,,,,0
3,RANUNCULUS,REPENS,,,,0,2,2,2,1,1,,2,1,1,,2,1
3,Potentilla,simplex,,,,0,,2,2,1,,,,0,,,,0
3,Rumex,sp.,,,,0,,2,2,1,,,,0,,,,0
3,Podophyllum,peltatum,,,,0,1,,2,1,,,,0,,,,0
3,Viola,sororia,,,,0,1,,2,1,,,,0,,,,0
3,Carex,sp.,,,,0,1,,2,1,2,,2,1,3,,3,1
3,Euonymus,obovatus,,,,0,1,,2,1,,,,0,,,,0
3,Unknown,dicot,,,,0,,,,0,3,,2,1,,,,0
3,Ostrya,virginiana,,,,0,,,,0,2,3,2,1,3,,2,1
3,Hieracium,sp.,,,,0,,,,0,2,,1,1,,,,0
3,Hedyotis,caerulea,,,,0,,,,0,2,,2,1,4,,2,1
3,Prenanthes,sp.,,,,0,,,,0,1,,2,1,,,,0
3,Maianthemum,canadense,,,,0,,,,0,1,,2,1,,,,0
3,Crataegus,sp.,,,,0,,,,0,,,,0,2,,1,1
3,Tsuga,canadensis,,,,0,,,,0,,,,0,,2,2,1
3,Carex,sp.,,,,0,,,,0,,,,0,,4,2,1
3,Plantago,sp.,,,,0,,,,0,,,,0,1,,1,1
3,Lysimachia,ciliata,,,,0,,,,0,,,,0,1,,1,1
3,Sanicula,sp.,,,,0,,,,0,,,,0,1,,1,1
4,Quercus,alba,4,2,3,1,4,2,2,1,,4,3,1,4,2,6,1
4,Moss,sp.,3,,2,1,2,2,3,1,2,,3,1,1,,2,1
4,Podophyllum,peltatum,3,2,5,1,2,,2,1,1,,3,1,,2,5,1
4,Geranium,maculatum,2,,2,1,1,,2,1,2,,3,1,,,,0
4,LONICERA,MORROWII,2,,2,1,2,,2,1,,,,0,,,,0
4,Prunus,serotina,,4,2,1,,3,3,1,2,3,3,1,3,2,4,1
4,Claytonia,virginica,,2,2,1,1,,2,1,2,2,2,1,3,,2,1
4,Arisaema,triphyllum,,2,2,1,1,,2,1,,,,0,,,,0
4,Unknown,monocot,,2,2,1,1,,2,1,1,,2,1,,,,0
4,Fraxinus,pennsylvanica,,2,2,1,1,,2,1,2,2,2,1,1,,2,1
4,Fagus,grandifolia,,2,2,1,2,,2,1,,,,0,,,,0
4,Carpinus,caroliniana,,2,2,1,,2,2,1,,3,3,1,1,,2,1
4,Carya,sp.,1,,1,1,,,,0,,,,0,,2,1,1
4,Acer,saccharum,1,,2,1,,2,2,1,1,,3,1,,,,0
4,Solidago,caesia,1,,2,1,,,,0,,,,0,,,,0
4,Smilax,hispida,1,,2,1,1,,2,1,,,,0,,,,0
4,Carex,pensylvanica,1,,3,1,4,,3,1,2,,2,1,1,,2,1
4,Pinus,strobus,1,,2,1,,,,0,,,,0,,,,0
4,Magnolia,acuminata,,,,0,2,,2,1,1,,1,1,,,,0
4,ROSA,MULTIFLORA,,,,0,2,,2,1,1,,1,1,,,,0
4,Allium,canadense,,,,0,2,,2,1,,,,0,,,,0
4,Allium,tricoccum,,,,0,2,,2,1,3,,2,1,,,,0
4,Circaea,lutetiana,,,,0,,2,2,1,,,,0,,,,0
4,Crataegus,sp.,,,,0,,2,2,1,,2,2,1,,,,0
4,Cardamine,rhomboidea,,,,0,,2,1,1,1,,2,1,,,,0
4,Parthenocissus,quinquefolia,,,,0,,2,2,1,2,,2,1,1,,2,1
4,Vitis,sp.,,,,0,1,,1,1,1,,1,1,2,,2,1
4,EUONYMUS,ALATUS,,,,0,1,,1,1,1,,1,1,,,,0
4,ALLIARIA,PETIOLATA,,,,0,1,,2,1,,,,0,,,,0
4,Ostrya,virginiana,,,,0,,,,0,2,2,3,1,,,,0
4,Polygonatum,pubescens,,,,0,,,,0,2,,1,1,,,,0
4,Cornus,florida,,,,0,,,,0,,2,2,1,1,,2,1
4,Galium,sp.,,,,0,,,,0,1,,2,1,,,,0
4,Ulmus,sp.,,,,0,,,,0,1,,2,1,2,,2,1
4,Viola,sororia,,,,0,,,,0,1,,2,1,,,,0
4,Rubus,allegheniensis,,,,0,,,,0,1,,3,1,,,,0
4,Asteraceae,spp.,,,,0,,,,0,1,,2,1,,,,0
4,LONICERA,MAACKII,,,,0,,,,0,1,,2,1,,,,0
4,Toxicodendron,radicans,,,,0,,,,0,1,,1,1,,,,0
4,Acer,rubrum,,,,0,,,,0,1,,1,1,2,,1,1
4,Anemonella,thalictroides,,,,0,,,,0,,,,0,,2,2,1
4,Prenanthes,sp.,,,,0,,,,0,,,,0,,2,2,1
4,Lindera,benzoin,,,,0,,,,0,,,,0,1,,2,1
4,VERONICA,OFFICINALIS,,,,0,,,,0,,,,0,1,,2,1
5,Allium,tricoccum,4,4,9,1,4,4,9,1,4,4,8,1,4,4,7,1
5,Erythronium,americanum,4,4,7,1,4,4,6,1,3,2,7,1,2,3,6,1
5,Geranium,maculatum,4,,4,1,2,,2,1,,,,0,1,,2,1
5,Acer,saccharum,4,3,3,1,3,3,2,1,4,3,2,1,3,2,2,1
5,Fraxinus,sp.,4,,2,1,3,3,2,1,1,,2,1,1,,2,1
5,Caulophyllum,thalictroides,4,4,8,1,4,3,7,1,4,2,5,1,2,2,3,1
5,Unknown,dicot,4,2,3,1,2,4,3,1,3,,2,1,1,,2,1
5,Lindera,benzoin,3,3,2,1,1,,2,1,1,,2,1,2,,2,1
5,Arisaema,triphyllum,3,,2,1,,2,2,1,1,,2,1,3,2,2,1
5,Cardamine,concatenata,3,4,5,1,4,3,6,1,3,4,6,1,4,4,5,1
5,Trillium,sp.,3,3,6,1,3,3,6,1,4,3,6,1,2,4,5,1
5,Podophyllum,peltatum,3,2,4,1,2,2,3,1,2,,4,1,,2,3,1
5,Trillium,grandiflorum,2,4,6,1,2,2,6,1,3,3,6,1,,2,2,1
5,Prunus,serotina,2,2,2,1,2,,1,1,1,,1,1,,,,0
5,Polygonatum,pubescens,2,2,4,1,1,,2,1,1,,2,1,,2,3,1
5,Euonymus,obovatus,,4,2,1,,,,0,,,,0,,,,0
5,Dicentra,canadensis,,3,4,1,2,3,5,1,3,4,6,1,3,3,6,1
5,Claytonia,virginica,,3,2,1,,2,2,1,2,,3,1,,,,0
5,Fagus,grandifolia,,3,2,1,,2,2,1,,2,2,1,2,,2,1
5,Viola,canadensis,,2,2,1,,,,0,1,,1,1,,,,0
5,Unknown,fern,,2,2,1,,,,0,2,,2,1,1,,2,1
5,Viola,pubescens,,2,2,1,1,,2,1,,,,0,,,,0
5,Hepatica,acutiloba,,2,3,1,1,,2,1,2,2,4,1,1,,2,1
5,Viola,pubescens,,2,2,1,1,,2,1,1,,2,1,,,,0
5,Actaea,alba,,2,2,1,1,,2,1,,,,0,,2,2,1
5,Polystichum,acrostichoides,,2,4,1,1,,3,1,1,,2,1,1,,2,1
5,Moss,sp.,1,,2,1,,,,0,1,,2,1,,4,2,1
5,Cardamine,douglassii,1,,1,1,,,,0,,,,0,,,,0
5,Sambucus,sp.,1,,2,1,,,,0,,,,0,,,,0
5,Asteraceae,spp.,,,,0,,2,1,1,,,,0,,,,0
5,Hydrophyllum,virginianum,,,,0,1,,2,1,2,,3,1,1,,2,1
5,Ulmus,sp.,,,,0,1,,2,1,1,,2,1,,,,0
5,Carex,plantaginea,,,,0,1,,2,1,1,,2,1,1,,2,1
5,Impatiens,capensis,,,,0,1,,2,1,,,,0,1,,2,1
5,Viburnum,acerifolium,,,,0,,,,0,,3,2,1,,,,0
5,Quercus,sp.,,,,0,,,,0,1,,2,1,,,,0
5,Cardamine,diphylla,,,,0,,,,0,1,,2,1,4,3,3,1
5,Tiarella,cordifolia,,,,0,,,,0,1,,2,1,2,,2,1
5,Circaea,lutetiana,,,,0,,,,0,,,,0,4,,2,1
5,Polygonum,virginianum,,,,0,,,,0,,,,0,3,,1,1
5,Cardamine,rhomboidea,,,,0,,,,0,,,,0,,2,2,1
5,Maianthemum,racemosum,,,,0,,,,0,,,,0,1,,2,1
5,Prosartes,lanuginosa,,,,0,,,,0,,,,0,1,,2,1
5,Maianthemum,canadense,,,,0,,,,0,,,,0,1,,1,1
5,Trillium,erectum,1,,2,1,1,,3,1,2,2,2,1,,3,3,1
5,Viola,blanda,,,,0,,,,0,,,,0,1,,2,1
5,Dryopteris,sp.,,,,0,,,,0,,,,0,1,,2,1
6,Betula,alleghaniensis,4,2,5,1,4,,4,1,,,,0,,,,0
6,Parthenocissus,quinquefolia,4,4,4,1,4,3,4,1,,,,0,,,,0
6,Panicum,sp.,4,,3,1,,2,2,1,,,,0,,,,0
6,Monarda,sp.,4,,2,1,1,,4,1,,,,0,,,,0
6,Elymus,sp.,4,2,5,1,3,,3,1,,,,0,,,,0
6,Carex,sp.,4,2,5,1,4,,5,1,,,,0,,,,0
6,Circaea,lutetiana,4,3,4,1,4,2,2,1,,,,0,,,,0
6,Amphicarpaea,bracteata,4,4,3,1,2,,2,1,,,,0,,,,0
6,Toxicodendron,radicans,3,2,3,1,2,2,2,1,,,,0,,,,0
6,TARAXACUM,OFFICINALE,3,,2,1,,2,2,1,,,,0,,,,0
6,Polemonium,reptans,3,3,5,1,,2,5,1,,,,0,,,,0
6,Eupatorium,rugosum,3,3,3,1,,2,3,1,,,,0,,,,0
6,Impatiens,capensis,3,4,3,1,,3,3,1,,,,0,,,,0
6,LYSIMACHIA,NUMMULARIA,3,2,4,1,,2,4,1,,,,0,,,,0
6,Galium,sp.,3,,3,1,4,3,3,1,,,,0,,,,0
6,Unknown,vine,3,4,5,1,2,,2,1,,,,0,,,,0
6,Moss,sp.,3,,2,1,,3,2,1,,,,0,,,,0
6,Allium,canadense,3,2,4,1,3,2,5,1,,,,0,,,,0
6,Viola,striata,3,3,8,1,4,3,7,1,,,,0,,,,0
6,Lysimachia,ciliata,3,2,7,1,,3,3,1,,,,0,,,,0
6,Geum,sp.,3,3,3,1,3,2,3,1,,,,0,,,,0
6,Solidago,gigantea,3,,8,1,1,,4,1,,,,0,,,,0
6,Lamiaceae,spp.,3,2,2,1,,,,0,,,,0,,,,0
6,Asteraceae,spp.,3,,2,1,1,,2,1,,,,0,,,,0
6,Geum,vernum,3,,4,1,,2,4,1,,,,0,,,,0
6,Unknown,monocot,3,,4,1,,,,0,,,,0,,,,0
6,Cryptotaenia,canadensis,3,4,5,1,4,2,4,1,,,,0,,,,0
6,Zizia,aurea,3,3,3,1,2,,4,1,,,,0,,,,0
6,Thalictrum,pubescens,2,3,7,1,4,3,5,1,,,,0,,,,0
6,Vitis,sp.,2,,2,1,,,,0,,,,0,,,,0
6,Carya,cordiformis,2,2,2,1,3,,2,1,,,,0,,,,0
6,Carex,sp.,2,,4,1,,,,0,,,,0,,,,0
6,CELASTRUS,ORBICULATUS,2,,2,1,1,,2,1,,,,0,,,,0
6,Verbesina,alternifolia,2,2,5,1,3,2,5,1,,,,0,,,,0
6,Geranium,maculatum,2,2,2,1,1,,2,1,,,,0,,,,0
6,LONICERA,MORROWII,2,,5,1,2,2,4,1,,,,0,,,,0
6,Ranunculus,hispidus,2,3,5,1,,2,2,1,,,,0,,,,0
6,Fraxinus,americana,2,,4,1,3,2,5,1,,,,0,,,,0
6,ROSA,MULTIFLORA,2,,4,1,,3,5,1,,,,0,,,,0
6,Sanicula,sp.,2,2,2,1,3,2,7,1,,,,0,,,,0
6,Asteraceae,spp.,2,,2,1,1,,2,1,,,,0,,,,0
6,Quercus,sp.,2,,1,1,1,,1,1,,,,0,,,,0
6,URTICA,DIOICA,3,3,2,1,1,,1,1,,,,0,,,,0
6,Solidago,flexicaulis,,4,3,1,3,3,8,1,,,,0,,,,0
6,Polygonatum,biflorum,,3,3,1,1,,2,1,,,,0,,,,0
6,Ribes,sp.,,4,2,1,,2,2,1,,,,0,,,,0
6,Euonymus,obovatus,,4,2,1,3,2,2,1,,,,0,,,,0
6,Galium,aparine,,3,3,1,3,,3,1,,,,0,,,,0
6,Symplocarpus,foetidus,,3,2,1,,4,3,1,,,,0,,,,0
6,Cardamine,concatenata,,3,2,1,1,,2,1,,,,0,,,,0
6,Unknown,monocot,,3,4,1,3,2,3,1,,,,0,,,,0
6,Cornus,sp.,,3,2,1,1,,2,1,,,,0,,,,0
6,Prenanthes,sp.,,3,3,1,2,,6,1,,,,0,,,,0
6,Allium,tricoccum,,3,2,1,1,,3,1,,,,0,,,,0
6,Lamiaceae,spp.,,2,2,1,,,,0,,,,0,,,,0
6,Claytonia,virginica,,2,2,1,4,,2,1,,,,0,,,,0
6,Tilia,americana,,2,2,1,1,,2,1,,,,0,,,,0
6,Maianthemum,racemosum,,2,2,1,1,,2,1,,,,0,,,,0
6,Smilax,hispida,,2,2,1,2,,2,1,,,,0,,,,0
6,Polygonum,virginianum,,2,3,1,2,2,2,1,,,,0,,,,0
6,Asteraceae,spp.,,2,2,1,,3,2,1,,,,0,,,,0
6,Cardamine,diphylla,,2,2,1,1,,2,1,,,,0,,,,0
6,Carex,sp.,,2,6,1,,4,3,1,,,,0,,,,0
6,RANUNCULUS,REPENS,1,,5,1,1,,2,1,,,,0,,,,0
6,LIGUSTRUM,VULGARE,1,,2,1,2,,3,1,,,,0,,,,0
6,Carex,sp.,1,,4,1,,,,0,,,,0,,,,0
6,Ulmus,sp.,1,,2,1,,,,0,,,,0,,,,0
6,Asteraceae,spp.,1,,2,1,1,,3,1,,,,0,,,,0
6,Acer,negundo,1,,2,1,,,,0,,,,0,,,,0
6,Sanguinaria,canadensis,1,,2,1,,,,0,,,,0,,,,0
6,Arisaema,dracontium,1,,2,1,,,,0,,,,0,,,,0
6,Phlox,divaricata,1,,2,1,3,2,4,1,,,,0,,,,0
6,Arisaema,triphyllum,1,,2,1,1,,3,1,,,,0,,,,0
6,Acer,saccharum,1,,1,1,,,,0,,,,0,,,,0
6,Equisetum,sp.,1,,1,1,,,,0,,,,0,,,,0
6,ALLIARIA,PETIOLATA,1,,1,1,,3,2,1,,,,0,,,,0
6,Tussilago,farfara,1,,2,1,,,,0,,,,0,,,,0
6,Viola,sororia,1,,5,1,3,,5,1,,,,0,,,,0
6,Cardamine,douglassii,1,,2,1,,,,0,,,,0,,,,0
6,Senecio,aureus,1,,2,1,3,3,4,1,,,,0,,,,0
6,Rubus,sp.,,,,0,4,2,2,1,,,,0,,,,0
6,Euonymus,atropurpureus,,,,0,,2,3,1,,,,0,,,,0
6,Unknown,dicot,,,,0,,2,1,1,,,,0,,,,0
6,Zizia,aptera,,,,0,1,,2,1,,,,0,,,,0
6,Polystichum,acrostichoides,,,,0,1,,2,1,,,,0,,,,0
6,Podophyllum,peltatum,,,,0,1,,3,1,,,,0,,,,0
6,Unknown,fern,,,,0,1,,2,1,,,,0,,,,0
6,Ostrya,virginiana,,,,0,1,,2,1,,,,0,,,,0
6,Agrimonia,parviflora,,,,0,1,,2,1,,,,0,,,,0
7,Podophyllum,peltatum,3,4,6,1,3,4,6,1,,3,6,1,3,,5,1
7,Carex,laxiculmis,3,,2,1,,,,0,,,,0,2,,2,1
7,Carex,sp.,2,,2,1,1,,2,1,1,,1,1,,,,0
7,Fraxinus,sp.,2,,2,1,,,,0,,2,2,1,1,,2,1
7,Acer,rubrum,2,,2,1,,,,0,,,,0,,,,0
7,Prunus,serotina,4,,2,1,2,2,2,1,3,,1,1,1,,2,1
7,Arisaema,triphyllum,2,,2,1,,4,2,1,3,2,2,1,3,,2,1
7,Moss,sp.,1,,2,1,1,,2,1,1,,2,1,1,,3,1
7,Asteraceae,sp.,1,,2,1,1,,2,1,1,,2,1,2,,2,1
7,Polygonatum,biflorum,,2,1,1,,3,2,1,3,2,2,1,2,,2,1
7,Smilax,rotundifolia,1,,2,1,2,,2,1,,,,0,,,,0
7,Unknown,fern,1,,2,1,1,,2,1,,,,0,1,,3,1
7,Crataegus,sp.,1,,1,1,,,,0,,,,0,,,,0
7,Unknown,monocot,1,,3,1,2,,2,1,3,,1,1,2,2,2,1
7,Maianthemum,racemosum,,,,0,2,,2,1,,,,0,,,,0
7,Viburnum,dentatum,,,,0,,3,2,1,,,,0,1,,2,1
7,Prenanthes,sp.,,,,0,,2,2,1,,,,0,1,,2,1
7,Acer,saccharum,,,,0,1,,1,1,1,,1,1,,,,0
7,BERBERIS,THUNBERGII,,,,0,1,,1,1,1,,2,1,,,,0
7,Mitchella,repens,,,,0,1,,2,1,,,,0,,,,0
7,Viola,sororia,,,,0,,,,0,3,,3,1,2,,2,1
7,Potentilla,simplex,,,,0,,,,0,3,,2,1,4,,2,1
7,Rubus,pensylvanicus,,,,0,,,,0,3,,2,1,,,,0
7,Lindera,benzoin,,,,0,1,,1,1,4,,2,1,,,,0
7,Impatiens,capensis,,,,0,,,,0,3,,2,1,,,,0
7,Cornus,florida,,,,0,,,,0,2,,1,1,,,,0
7,ROSA,MULTIFLORA,,,,0,,,,0,2,,2,1,1,,2,1
7,Euonymus,obovatus,,,,0,,,,0,1,,1,1,,,,0
7,Pyrus,sp.,,,,0,,,,0,1,,1,1,,,,0
7,Uvularia,sessilifolia,,,,0,,,,0,,,,0,1,,1,1
8,Moss,sp.,,2,2,1,1,,2,1,,,,0,1,,2,1
8,Prunus,serotina,2,3,2,1,1,,2,1,2,2,2,1,3,3,2,1
8,Dryopteris,carthusiana,,3,2,1,1,,2,1,1,,2,1,,,,0
8,Fagus,grandifolia,1,,2,1,,,,0,,,,0,,,,0
8,Arisaema,triphyllum,,2,2,1,1,,2,1,,2,2,1,3,,2,1
8,Erythronium,americanum,,2,2,1,,2,2,1,,4,2,1,,3,3,1
8,Acer,saccharum,3,3,2,1,2,3,2,1,,,,0,1,,2,1
8,Polygonatum,pubescens,1,,2,1,,,,0,1,,2,1,3,,2,1
8,Dryopteris,intermedia,1,,1,1,,,,0,,,,0,4,,2,1
8,Polygonatum,biflorum,,,,0,,2,1,1,,,,0,,,,0
8,Parthenocissus,quinquefolia,,,,0,,2,2,1,1,,1,1,,,,0
8,Lindera,benzoin,,,,0,,,,0,,2,1,1,1,,2,1
8,Unknown,dicot,,,,0,,,,0,,2,1,1,,,,0
8,Viola,sp.,,,,0,,,,0,,2,1,1,,,,0
8,RANUNCULUS,FICARIA,,,,0,,,,0,1,,2,1,,,,0
8,Fraxinus,sp.,,,,0,,,,0,1,,1,1,1,,2,1
8,Allium,tricoccum,,,,0,,,,0,1,,2,1,,,,0
8,BERBERIS,THUNBERGII,,,,0,,,,0,1,,2,1,,,,0
8,Unknown,fern,,,,0,,,,0,,,,0,1,,2,1
8,Acer,sp.,,,,0,,,,0,,,,0,,3,1,1
8,Allium,tricoccum,,,,0,,,,0,,,,0,1,,2,1
9,Euonymus,obovatus,4,,2,1,,,,0,,,,0,,,,0
9,Prenanthes,sp.,4,,5,1,2,,2,1,,,,0,,,,0
9,Viola,sororia,4,2,5,1,1,,2,1,2,3,3,1,4,,6,1
9,Ranunculus,hispidus,4,,7,1,4,2,4,1,,,,0,,2,4,1
9,Rubus,pensylvanicus,4,,2,1,1,,2,1,,,,0,,,,0
9,Erythronium,americanum,3,,5,1,4,,4,1,,,,0,4,,5,1
9,Cryptotaenia,canadensis,3,,6,1,2,,2,1,,,,0,4,,6,1
9,Unknown,monocot,3,,4,1,2,,2,1,3,2,5,1,,2,5,1
9,Floerkea,proserpinacoides,3,,3,1,,,,0,,2,2,1,,2,2,1
9,ROSA,MULTIFLORA,3,,4,1,3,2,8,1,3,2,8,1,,4,6,1
9,Moss,sp.,2,,2,1,1,,3,1,3,2,3,1,,2,4,1
9,Galium,aparine,2,,1,1,,,,0,,,,0,1,,2,1
9,Asteraceae,spp.,2,,2,1,2,4,2,1,3,,2,1,,4,4,1
9,Polygonum,virginianum,2,,2,1,2,4,2,1,,2,2,1,1,,2,1
9,ALLIARIA,PETIOLATA,2,,3,1,,,,0,1,,2,1,,,,0
9,Viola,pubescens,2,2,5,1,,,,0,,,,0,1,,2,1
9,Arisaema,triphyllum,2,,2,1,,,,0,2,,1,1,,,,0
9,Acer,saccharum,2,,1,1,,,,0,,2,1,1,,3,2,1
9,Crataegus,sp.,2,,1,1,,,,0,,,,0,,,,0
9,Cardamine,concatenata,2,,1,1,,,,0,,,,0,,,,0
9,Rubus,occidentalis,2,,4,1,4,2,5,1,2,2,5,1,,3,5,1
9,Allium,tricoccum,2,,2,1,,,,0,,,,0,,,,0
9,Allium,canadense,2,,3,1,2,4,4,1,4,,3,1,,3,3,1
9,TARAXACUM,OFFICINALE,,4,3,1,3,,3,1,2,4,4,1,4,4,3,1
9,Unknown,monocot,,4,2,1,4,2,4,1,,4,5,1,4,3,6,1
